Id,Label,d20,d13,d12,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1
2437921777,justicedarfarsi,1,162,0,0.305,17065,16754,56,3142.903,447876,748,222,16414,118,311
2438498226,EtemadOnline,98,337,0,0,39,2,24,3142.66,705,198741,2,0,0,37
2439089119,AhrazHumanRight,3060,389,0,0,22,3,19,3142.167,893,1412,1,1,1,19
2441742180,NuitBlancheMoi,9,337,0,0.052,1254,1109,63,3140.633,151239,1441,275,777,57,145
2441815464,albatrusn,486,162,0,0.014,740,280,63,3140.591,2186,722,128,145,7,460
2441915478,nasserkarami,77,337,0,0.239,158,45,58,3140.482,59688,12843,12,8,25,113
2442322265,AngelaGhayour_,107,162,0,0,57,32,32,3156.545,1075,3830,6,23,3,25
2442419125,paarniiaan,282,337,0,0,366,313,39,3140.321,7032,396,20,292,1,53
2442464718,Avajahangiri,1,1270,0,0.124,1535,1295,52,3140.373,503961,10863,48,1225,22,240
2444931858,da2022s,12,1966,0,0,145,75,44,3138.975,12194,6014,0,59,16,70
2449186632,lion678398,3061,390,0,0,60,38,27,3136.883,54,152,4,33,1,22
2449195279,Sajjad_Heydari,1,337,0,0.114,243,159,49,3136.934,114823,3425,41,70,48,84
2449257338,Ali_kiae,1,162,0,0,356,352,50,3136.729,13520,36,19,329,4,4
2450214357,DieselIr,1,162,0,0,512,477,55,3153.377,42184,391,14,446,17,35
2451869210,selenophile2014,12,1966,0,0,158,136,41,3135.377,449,4271,0,134,2,22
2452000663,NaghmeL,5,162,0,0,501,437,59,3135.282,36619,2717,11,390,36,64
2452212114,h_kiaaa,48,1966,0,0,76,34,21,3133.975,540,532,2,15,17,42
2452835650,mahyajfr,1,162,0,0,293,251,37,3152.333,35586,617,13,226,12,42
2453333024,___brd___,1,337,0,0,409,368,62,3134.563,224551,7509,42,322,4,41
2458304413,EQfard,5,810,0,0,143,90,61,3131.584,24151,12646,12,20,58,53
2459171669,Zez_mirzaei,1,162,0,0.135,1151,941,48,3149.87,66739,970,49,805,87,210
2459299508,lida_ghr,3062,391,0,0,31,30,23,3130.839,39,122,18,12,0,1
2459966323,_Lansin3_,1,337,0,0.033,2396,1843,60,3130.525,120874,519,61,1279,503,553
2459997681,oyanyuyan_omid,1,162,0,0.017,997,965,47,3149.623,28657,210,23,493,449,32
2463135390,daryasallar,1,162,0,0.034,406,351,59,3128.695,5762,316,70,258,23,55
2464630497,__itshossein__,10,1966,0,0,56,6,23,3147.745,1335,1191,2,4,0,50
2466377078,Salle1397,7,541,0,0,662,649,57,3126.461,1085,731,17,579,53,13
2469629839,boraaaa0,1,337,0,0.014,367,240,54,3124.368,12326,149,51,184,5,127
2469782767,HbSarbazi,13,337,0,0.007,348,55,62,3124.389,595113,15925,19,33,3,293
2470865700,SamanehRP1500,1,337,0,0.039,1088,909,63,3123.679,243048,12677,91,782,36,179
2472498577,borodaretobzr,3063,392,0,0,51,21,24,3122.159,826,1525,1,15,5,30
2473496029,aleijenab,3064,393,0,0,98,49,42,3121.822,134,17,0,43,6,49
2473622660,farhadge,1,162,0,0.018,942,670,62,3121.888,103700,2530,87,575,8,272
2473631900,_Saturn_zen,1,337,0,0.026,217,84,58,3121.888,8109,1354,18,5,61,133
2476328830,adamekhoub,3065,394,0,0,12,3,11,3142.121,207,983,0,3,0,9
2476517084,Merthasun,9,337,0,0.157,929,836,51,3119.912,72127,8359,21,753,62,93
2477014696,Saeid131211,11,1966,0,0.247,3019,2677,61,3142.381,150111,1175,141,2508,28,342
2478026133,daxrkness,1,162,0,0.216,2945,2654,57,3141.966,255948,3439,3,2585,66,291
2479541585,AliMokhtarzadeh,18,2395,0,0,98,56,54,3141.427,18549,10324,8,43,5,42
2479662692,javanane_babol,634,162,0,0,13,1,13,3116.636,1715,411,0,1,0,12
2480730821,MahdiShajari,1,162,0,0,69,39,52,3140.954,114046,14294,4,35,0,30
2481363261,azyejabebadkodi,1,162,0,0.225,1149,1010,25,3140.669,48521,1175,17,898,95,139
2484351238,Mnik45Nik,10,1966,0,0,37,1,31,3139.537,13747,13279,0,0,1,36
2488380332,Villanelle__18,1,337,0,0.003,111,74,41,3113.523,868,196,23,42,9,37
2492484885,khalil_raeisi_m,3053,395,0,0,55,11,33,3135.54,2352,2881,0,7,4,44
2492594939,vahid_dal,735,396,0,0.026,148,130,40,3135.491,11843,78,79,50,1,18
2492739240,voodvood87,1,337,0,0.219,4082,3979,57,3110.682,200208,71,76,3886,17,103
2492786680,antonioka911,1,1270,0,0.037,86,53,15,3135.14,392,133,27,18,8,33
2492799130,fallah_hadi,3067,397,0,0.012,401,235,62,3135.442,770,124,83,6,146,166
2494113079,mahmoonay,1,162,0,0.333,1987,1765,41,3109.578,37293,935,0,1561,204,222
2494338750,jiimjuniior,1,162,0,0,239,181,49,3109.502,5185,426,2,179,0,58
2494452978,shahahadibi,1,1270,0,0,102,46,32,3109.203,3905,2194,1,27,18,56
2498373731,MartinMaxStone,1,162,0,0.05,816,697,62,3133.223,18824,1943,103,582,12,119
2500440253,tanaz_111111,3068,398,0,0,103,63,30,3107.092,564,265,13,49,1,40
2501075602,amearpasha,72,1270,0,0,34,12,6,3130.443,5733,137,2,10,0,22
2503000856,arashhlashkari,1,162,0,0.023,222,167,52,3106.077,8816,582,165,1,1,55
2504286770,Me_Unstoppable_,9,337,0,0.08,2976,2587,63,3105.712,145754,3711,182,1756,649,389
2504399460,S_Anna8,5,810,0,0.022,251,70,35,3105.601,4280,455,2,47,21,181
2505034056,amin22majidi,3069,399,0,0,25,10,39,3105.386,23120,131,0,1,9,15
2505329927,Roojan1987,1,162,0,0.135,1326,1275,62,3130.072,63436,262,45,1178,52,51
2506646383,mozafara1,7,541,0,0,95,24,50,3104.919,16402,28307,0,24,0,71
2509360928,FarsNews_Agency,18,2395,0,0,277,71,62,3103.992,82749,232359,4,2,65,206
2510398075,Be_Yourself38,1,162,0,0.037,1424,1288,51,3103.583,115806,902,4,22,1262,136
2511426205,farzadnikghadam,11,1966,0,0,38,1,37,3103.314,9830,5523,1,0,0,37
2513674889,__Badass_______,1,337,0,0.064,910,818,60,3126.16,51359,1288,21,735,62,92
2518000317,realArasharcher,28,1270,0,0.07,695,634,34,3123.455,25111,471,101,446,87,61
2519596888,iranianacademic,7,541,0,0,136,28,47,3123.403,2666,612,1,27,0,108
2522468281,arta_asd,516,810,0,0,422,394,24,3098.745,26587,243,15,211,168,28
2523012697,mamadDiscovery,103,162,0,0.125,682,559,59,3098.54,28244,602,45,501,13,123
2524792221,tata_celin,11,1966,0,0.02,324,213,55,3120.976,6032,2928,56,124,33,111
2526064157,vrajabloo,20,337,0,0,102,59,43,3120.414,80225,24000,8,46,5,43
2529766465,ArashBehgoo,1,337,0,0.076,305,212,56,3095.651,19775,435,74,115,23,93
2529834984,XaaleQ,299,337,0,0,264,230,56,3095.717,28196,5501,33,67,130,34
2530924807,Morphin209,1,162,0,0.03,794,708,51,3095.006,3226,338,15,39,654,86
2531922005,SashaTehrani,1,1270,0,0.076,2876,2615,62,3118.241,239694,3193,65,1855,695,261
2532605112,shaqayegh___,72,1270,0,0.058,576,444,61,3094.663,73944,6434,1,338,105,132
2533946010,farshadkian,1,337,0,0.246,1829,1820,51,3093.962,1502,50,1634,185,1,9
2538337327,navidlatifi,3070,400,0,0,47,15,35,3092.255,957,833,2,12,1,32
2539737337,GHollyGolightly,581,337,0,0.025,183,143,45,3091.612,8884,1190,39,101,3,40
2541081140,AmirHosein_07,169,1270,0,0.109,941,672,40,3090.094,28414,9021,18,202,452,269
2543234436,2ooozist,1,337,0,0.069,1238,1030,61,3089.765,36591,4903,108,903,19,208
2544087067,khazanpm,3,337,0,0,103,34,49,3089.447,3413,5781,2,30,2,69
2544188708,ss_saba_ss,1,162,0,0,206,193,40,3089.369,62431,956,0,191,2,13
2545644478,fazeli_hafez,15,199,0,0,80,24,58,3110.378,9871,4478,17,5,2,56
2545786748,delapetitelune,9,337,0,0.241,1512,1422,57,3088.725,8738,22,0,1422,0,90
2546422675,dontcallmesin,1,162,0,0.155,4758,4577,64,3088.549,286259,4640,125,4400,52,181
2546772359,niuishere,1,162,0,0.128,504,395,43,3109.872,48140,639,3,386,6,109
2548246243,DariushAMaleki,7,541,0,0,127,116,56,3087.603,1633,774,30,24,62,11
2548581194,perspolisinews,11,1966,0,0,33,7,19,3087.426,2169,8830,1,5,1,26
2549664931,offthegridoff,1,337,0,0.046,277,254,47,3086.79,577,339,32,218,4,23
2550255992,MohseniNastaran,517,401,0,0,203,149,39,3086.575,1131,962,13,133,3,54
2552874810,clooopppiii,1,1966,0,0.104,1644,1534,64,3085.537,72846,891,52,1451,31,110
2554131522,HeshmatAlavi,7,541,0,0.006,1281,343,60,3084.894,83843,82174,24,54,265,938
2555359224,mortelleee,876,672,0,0,93,77,41,3084.399,991,146,2,64,11,16
2556493778,sana_sutu,7,541,0,0,181,166,48,3083.718,1489,686,1,163,2,15
2556811298,hoda_hadadi,249,337,0,0,82,33,51,3083.639,33361,1961,17,7,9,49
2557669574,AlirezaGhandchi,3071,402,0,0,41,12,42,3082.963,80318,7579,4,5,3,29
2561057258,AmirHadiAnvari,15,337,0,0.122,172,66,56,3081.784,50849,8291,31,10,25,106
2564872309,daee_mmd,3,2591,0,0,240,186,39,3079.886,6684,2655,2,171,13,54
2567984202,Mahiosaltane,24,337,0,0.023,669,498,64,3078.204,3511,2412,47,354,97,171
2568381248,davood_bg,18,2395,0,0,398,222,60,3077.989,16405,5501,13,193,16,176
2568652878,SdZarei,3072,403,0,0,88,31,57,3077.834,12275,3962,5,0,26,57
2568807259,mshmaryam1,1,162,0,0.161,1195,1108,59,3077.756,87043,72,6,1083,19,87
2569215380,rishamm0,1,162,0,0.134,3432,3275,46,3077.258,137875,567,12,3074,189,157
2571802489,Merajsn,3073,404,0,0,50,17,20,3076.221,27,77,0,17,0,33
2572377618,HoseinNaghashi,3074,405,0,0,29,10,35,3075.923,8233,6476,1,7,2,19
2572479053,MsdSepideh,24,337,0,0.003,110,22,46,3093.542,4969,1571,0,20,2,88
2572519470,halalaheidari,3075,406,0,0,76,68,19,3075.46,180,135,25,7,36,8
2572593847,H_luigi,152,337,0,0.044,393,249,62,3075.822,16452,6097,12,234,3,144
2572636867,drkopii,5,810,0,0.136,2405,2174,64,3075.802,222319,4547,4,2143,27,231
2572902906,vahid__bahman,5,810,0,0.244,265,122,62,3075.643,293693,34258,0,113,9,143
2573149332,21mr_sam,3076,407,0,0.04,208,129,37,3075.506,203,28,0,11,118,79
2573729684,Mirkhalaf_Moh,1,162,0,0,381,336,48,3074.857,19887,89,14,230,92,45
2574343596,FantomEsfahan,57,162,0,0,701,544,53,3074.826,14140,1087,111,189,244,157
2574534607,ganjgoli,70,162,0,0.017,160,15,41,3074.594,4597,810,0,15,0,145
2574618229,NpSaeed,1,162,0,0,132,93,44,3074.691,1694,786,0,92,1,39
2575259983,yazdooooon,3077,408,0,0,25,13,9,3074.451,73,62,0,13,0,12
2575293948,marco_cholov,60,337,0,0,182,131,54,3074.434,1054,181,10,62,59,51
2575439737,marymoon_thri,1,337,0,0,620,583,45,3074.16,4549,107,3,574,6,37
2575440769,AbdolrezaKahani,1,162,0,0,23,1,34,3074.273,45258,23150,1,0,0,22
2575516860,toollooee,66,199,0,0.073,965,863,60,3074.311,21485,3289,47,798,18,102
2576903278,Peezhvag,1,162,0,0.036,811,532,56,3090.82,58108,406,170,269,93,279
2577042194,bb66x,1,337,0,0.181,3402,3234,64,3073.574,198222,6616,181,3000,53,168
2578684170,khaylekhob,1,337,0,0.308,873,835,33,3072.47,13869,145,25,807,3,38
2580058586,cestmoipishi,3078,409,0,0,214,164,37,3071.876,41211,940,4,157,3,50
2580144427,JokerLost2810,10,1966,0,0.359,1936,1911,62,3071.838,11153,2869,2,1620,289,25
2581045277,asal1991,1,162,0,0.233,4551,4286,57,3089.34,99852,266,39,3795,452,265
2582056045,maanenaa,1,162,0,0.131,433,396,41,3070.755,149819,7238,16,374,6,37
2582126585,dead__but_alive,1,337,0,0.051,557,445,53,3088.651,9458,110,19,410,16,112
2582612330,mozhganaa,1,337,0,0.027,1113,874,59,3070.43,5006,3400,44,792,38,239
2582750672,_ewrsh_202098,1,337,0,0.116,1632,1423,29,3070.381,115520,378,118,1283,22,209
2584412810,ali_afrasiab,1,162,0,0.023,249,74,53,3069.368,25373,448,4,64,6,175
2584775043,palangbarfi,1,1966,0,0.185,926,790,47,3087.448,22634,932,7,776,7,136
2586087703,HengameShahidi,1,199,0,0,146,19,55,3068.488,173439,23826,13,0,6,127
2586648712,manicdpression,1,337,0,0.036,354,270,36,3086.739,990,121,27,233,10,84
2586910680,BaharAazar,1,337,0,0.067,522,448,57,3067.963,19780,3078,52,387,9,74
2590876380,AsmaKaroobi,1,162,0,0.067,911,689,57,3065.94,87670,4147,95,576,18,222
2591073204,missfilani,1,162,0,0.156,1017,937,54,3065.822,73716,1544,19,897,21,80
2592540768,mhf721,3040,410,0,0,55,29,22,3064.434,224,174,2,15,12,26
2595811614,MBMesgaran,1,162,0,0.087,555,550,55,3062.979,43799,148,58,487,5,5
2597415049,CiminRouzgard,15,337,0,0,136,83,54,3062.022,16198,1375,4,76,3,53
2597868568,SexyNukim_,2,162,0,0,303,285,48,3082.559,38447,131,0,159,126,18
2599053627,_wakhim,254,337,0,0.015,782,208,60,3082.225,10858,3168,48,147,13,574
2600709228,ebzandi,1,337,0,0.001,63,5,48,3060.077,209377,35913,3,2,0,58
2601425827,__mas00meh__,1,1270,0,0.088,1278,1052,58,3059.758,135520,791,32,1017,3,226
2601628980,miladpoureisa,15,337,0,0,318,182,63,3059.661,182303,4155,19,115,48,136
2601755670,abdihezarkhani,162,541,0,0,160,118,49,3059.581,560,100,0,118,0,42
2601952250,feridivert,1,1270,0,0,841,801,53,3059.291,15274,552,18,505,278,40
2602144819,CallmeNoCaptain,1,337,0,0.03,453,332,49,3059.414,5112,727,21,264,47,121
2602233331,vahid_esmaeilii,11,1966,0,0.078,223,131,62,3059.35,446246,9644,4,116,11,92
2603443490,FatiFreee,1,162,0,0,415,378,58,3058.67,33858,366,4,373,1,37
2604020402,saeedshafiei1,15,337,0,0.009,415,248,59,3058.37,16904,1399,117,110,21,167
2606156899,KarenKeyhani,399,162,0,0,60,15,46,3057.328,2375,477,9,3,3,45
2608105715,moon_sent,258,337,0,0.117,373,280,44,3078.85,7929,289,8,262,10,93
2608254275,majhouliat,1,337,0,0.06,187,115,54,3078.887,247251,28557,16,70,29,72
2612029076,__solidarity_,5,810,0,0.173,1324,973,58,3054.49,14100,1624,34,821,118,351
2613204782,Rozhinii,10,1966,0,0,125,88,54,3053.843,1229,380,13,63,12,37
2613396403,ForEveryBd,16,162,0,0.127,3158,2537,64,3053.75,863907,19453,143,2229,165,621
2613679152,VahidFarkhondeh,18,2395,0,0,33,17,32,3053.57,2156,2023,0,16,1,16
2616295784,iac_virginia,7,541,0,0,62,43,39,3052.258,3046,763,3,39,1,19
2616415513,IAC_MD,7,541,0,0,379,370,52,3052.203,1046,467,5,365,0,9
2616420446,IAC_NJ,7,541,0,0,118,104,38,3052.186,964,501,10,93,1,14
2617841501,Son_of_Zagros,5,810,0,0.626,6262,6168,49,3075.477,24550,255,21,365,5782,94
2618336086,kurde_isback,1,810,0,0.101,2452,2357,57,3075.237,36945,88,353,780,1224,95
2618834088,nadalindooo,1,337,0,0.107,936,850,50,3051.096,25445,4015,28,807,15,86
2621165140,meteorbit93,3028,411,0,0,46,9,16,3074.26,230,152,1,7,1,37
2626194858,_MsViolet_,3029,412,0,0.003,228,81,57,3050.577,1771,144,0,78,3,147
2631612632,FreemanShojae,1,1270,0,0.091,906,757,53,3050.088,48388,5072,33,595,129,149
2638220518,Sarina88828,5,810,0,0,84,75,34,3068.465,3299,410,0,36,39,9
2641605388,RoozbehShaikh,3030,413,0,0,39,10,21,3067.29,408,55,1,7,2,29
2642781063,heyvoonak,46,337,0,0.022,317,181,59,3067.029,39032,553,14,153,14,136
2643229617,twittchi100,1,162,0,0.101,2164,1970,53,3066.844,75937,3439,12,1927,31,194
2647705686,Poooriiia,531,162,0,0,34,12,24,3047.591,58223,400,4,6,2,22
2648851064,AmirhosseinAK90,1,162,0,0.202,2405,2044,58,3047.448,109231,1201,187,1812,45,361
2649097658,ngcobject,3031,414,0,0,77,56,34,3046.852,195,94,16,38,2,21
2651954214,akoribvar,1,337,0,0.072,397,359,50,3046.115,15331,697,22,240,97,38
2653552655,hjchoas,58,162,0,0.368,756,648,45,3063.221,19745,8366,40,598,10,108
2653575848,AgainstSokoot,20,337,0,0.153,3800,3320,47,3045.633,275677,2706,483,2558,279,480
2655793503,MHOSSEIN1994,3032,415,0,0,26,18,22,3062.868,11992,765,0,5,13,8
2656211244,ShrinkingFigure,1,337,0,0.069,823,732,58,3044.862,54780,734,41,682,9,91
2656849814,shahidi81,9,337,0,0.027,118,83,43,3044.559,950,227,20,51,12,35
2659073161,RezaBagheban,3033,416,0,0,48,5,31,3043.822,419,415,0,4,1,43
2660358254,HafezeSayeha,1,337,0,0.038,434,389,63,3043.39,100768,4452,59,274,56,45
2667078055,bimar68,1,162,0,0.137,1001,758,56,3041.361,32885,9891,19,736,3,243
2676822392,shakila741,1,162,0,0,345,340,58,3038.661,58221,39891,18,312,10,5
2677935158,FuxxNews,1,162,0,0.049,730,652,59,3038.371,13861,615,107,518,27,78
2682377395,nobodyinirann,58,1270,0,0.002,325,70,43,3036.55,10739,1023,2,62,6,255
2682820352,Entekhab_News,98,337,0,0.034,376,7,63,3036.497,4389,37695,1,0,6,369
2683295548,LOSMRZ,10,1966,0,0.008,241,90,39,3055.606,4025,648,9,17,64,151
2687573095,am94ir,790,512,0,0,75,50,37,3034.628,614,927,2,36,12,25
2688527982,__baharak_,238,337,0,0.007,143,59,58,3034.254,1758,3762,1,55,3,84
2694724887,abnasrollahi,1,162,0,0,25,19,23,3051.786,29707,2230,0,12,7,6
2696582507,mohaparto,3034,417,0,0,73,47,27,3052.011,352,701,5,26,16,26
2696641264,ala_brm,3035,418,0,0,51,26,21,3051.837,281,301,1,22,3,25
2697922368,91BackBone,15,337,0,0.033,612,546,55,3030.6,143148,573,98,426,22,66
2698095098,najahmalii,18,2395,0,0,68,3,41,3030.703,13482,160285,1,1,1,65
2699290555,Assar_Amini,3036,419,0,0,66,46,38,3030.225,1512,9130,7,36,3,20
2700446389,poetiquenoir,4,1270,0,0.032,1248,984,63,3029.823,47978,830,19,448,517,264
2702394775,therevcoms,3037,420,0,0,32,14,34,3029.067,366,4521,0,14,0,18
2703890634,idafolk,1,337,0,0.029,395,327,41,3028.736,301242,24892,80,236,11,68
2706638743,Alef_Azadi,1,337,0,0.094,1278,1173,54,3027.5,19105,634,29,1000,144,105
2707040391,qudsia_qanbary,3038,421,0,0,47,28,29,3049.651,3915,60033,1,25,2,19
2711074967,iran_azadeh,1,1966,0,0.039,579,363,63,3048.405,54890,9020,8,297,58,216
2717867156,vansaberhagen,1,162,0,0,778,685,52,3023.255,102127,31,0,678,7,93
2720093513,ElaheNaz71,195,1966,0,0,338,294,37,3040.947,4145,1374,1,161,132,44
2720457377,farshidshafiey,94,337,0,0.304,3799,3791,55,3040.801,216,109,3,7,3781,8
2721758093,SamiRad_awaking,1,162,0,0.082,1676,1489,57,3039.53,56794,1011,220,790,479,187
2723733757,Albaloiy,1,337,0,0.114,1392,1159,54,3020.765,40104,25658,134,1004,21,233
2723935129,ramzi1336,7,541,0,0,593,436,64,3020.672,14103,4701,2,433,1,157
2724426713,sadosaltaneh,38,337,0,0.038,747,310,57,3037.4,6974,10084,44,260,6,437
2727659645,west_london26,30,337,0,0.02,399,241,53,3034.229,11847,492,19,215,7,158
2727815201,smile21face,9,337,0,0.253,2149,2095,57,3034.099,14210,65,129,1948,18,54
2731248600,alexi_lalass,1,162,0,0,888,839,61,3017.831,15567,2355,8,829,2,49
2731424960,chamanmah,1,162,0,0.101,1303,1215,57,3017.69,557683,12187,0,1215,0,88
2735505117,foramirbehroozi,10,1966,0,0.118,1220,1122,63,3025.315,30998,4809,1,0,1121,98
2737132819,aghay_e,148,162,0,0.028,498,231,55,3015.704,6404,4757,24,186,21,267
2737213728,farzanbabaei1,7,541,0,0,432,153,59,3015.643,3861,1140,33,89,31,279
2739458814,mehdifcb21,774,162,0,0,105,89,45,3014.735,20615,2745,2,85,2,16
2739506010,Tasnimnews_Fa,18,2395,0,0,803,107,64,3014.73,63072,257742,14,12,81,696
